,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S,GLC_BATCH_mu=0.6_H,FUM_BATCH_mu=0.55_H,PERSIST@8H_mu=0.02_H,STARVED@8H_mu=-0.005_H
b0995,0.34507042253521125,4.396270396270396,,0.49565217391304345,0.7519685039370079,2.6068702290076335,0.09848484848484848,2.068,0.25278810408921937,0.8250000000000001,0.0,1.1736842105263159,0.63125,0.46875,0.06093189964157707,1.2953020134228188,0.6143344709897611,,,0.19004524886877827,2.527131782945736,,,,,,8.313282885302325,16.131133280180176,29.19737138032787,18.60918163228261
b3234,297.7323943661972,197.7785547785548,245.38903394255874,305.1521739130435,352.248031496063,327.8320610687023,429.0037878787878,415.36,331.73977695167287,396.1416666666667,398.6682692307692,428.5947368421053,324.47499999999997,330.34374999999994,266.64874551971326,272.83892617449663,271.15699658703073,300.2078853046595,458.7537878787878,445.0995475113122,349.62015503875966,323.5168918918919,131.6997635933806,196.39,129.18119266055047,186.5282485875706,203.6692791912093,417.2005737307207,887.8237047959018,504.3365175570652
b4323,6.869718309859156,42.484848484848484,21.112271540469973,13.495652173913044,18.921259842519685,15.67175572519084,15.242424242424242,11.548,12.226765799256507,20.3125,26.48076923076923,19.689473684210526,2.0125,1.71875,4.028673835125448,8.38255033557047,3.0648464163822524,5.810035842293907,33.54924242424242,20.41176470588235,18.352713178294575,9.158783783783784,35.81796690307328,7.536666666666666,22.662844036697248,9.918079096045197,39.28962337739535,198.38892792099097,124.42177689606557,157.95190558608695
b4324,2.7640845070422535,2.6783216783216783,2.971279373368146,3.8217391304347825,4.011811023622047,3.4885496183206106,3.693181818181818,4.172,3.308550185873606,4.745833333333334,3.25,4.478947368421053,5.46875,5.0875,5.125448028673835,10.664429530201343,8.07849829351536,4.455197132616488,4.829545454545454,6.058823529411765,8.515503875968992,9.557432432432432,1.156028368794326,1.6166666666666665,1.2729357798165137,1.6723163841807909,19.564294140744188,40.669523262162166,75.2922014837705,33.673975505326084
b1857,152.69014084507043,132.10489510489512,70.35770234986946,41.469565217391306,90.73622047244095,39.93511450381679,82.78030303030302,52.928,33.90706319702602,39.604166666666664,30.240384615384613,27.247368421052634,52.46875,67.625,72.17562724014337,71.6744966442953,38.71331058020478,60.51254480286739,52.628787878787875,56.20814479638009,97.43023255813954,82.24324324324324,92.33569739952718,124.14333333333333,120.7821100917431,106.54802259887006,117.32936706916279,230.53936996603602,511.6425678245902,235.15635439119566
b1780,761.1795774647887,564.6410256410256,895.8772845953002,648.1130434782609,658.6811023622047,769.591603053435,787.0530303030304,550.188,796.1747211895911,680.6208333333334,526.6586538461538,389.03684210526313,498.65,514.2312499999999,765.7992831541218,729.510067114094,625.259385665529,696.5555555555555,655.6022727272726,501.73755656108597,654.4961240310078,1203.2837837837837,599.6170212765957,817.9866666666667,418.9610091743119,537.3389830508474,534.7460872931629,840.2861983467567,1702.2690699778689,875.5066066463045
b1990,24.397887323943664,17.242424242424242,13.919060052219322,47.60000000000001,38.3503937007874,42.93129770992366,34.609848484848484,23.588,30.54646840148699,40.395833333333336,57.08173076923077,58.578947368421055,86.6375,99.3875,44.738351254480285,45.375838926174495,54.97610921501707,31.602150537634408,37.946969696969695,69.45701357466064,34.94961240310077,32.34121621621622,,,,,37.501696119534884,110.57544380585585,704.4725250444262,292.60288982010866
b0607,413.2676056338029,751.4055944055945,305.97650130548305,587.7304347826088,498.6732283464567,748.912213740458,412.060606060606,428.56000000000006,364.6914498141264,507.8208333333333,701.6971153846154,794.4368421052633,2615.0499999999997,2530.1625,520.7885304659499,598.4127516778524,796.79180887372,385.82078853046596,412.3939393939394,353.0633484162896,392.3565891472868,300.3310810810811,210.7943262411347,129.16666666666666,182.44036697247705,78.63559322033899,549.8119760626512,1332.1449956317115,13081.797176890492,6563.211461972499
b2000,20.93661971830986,23.995337995337994,25.626631853785902,32.22608695652174,13.338582677165356,55.88931297709924,18.234848484848484,19.104,11.728624535315985,16.908333333333335,16.16826923076923,35.742105263157896,48.68125,41.6375,37.54838709677419,131.60738255033556,43.50853242320819,21.92831541218638,37.02651515151515,77.94117647058823,6.391472868217053,109.89189189189189,1065.290780141844,1726.5766666666666,38.36926605504587,67.64406779661017,946.7190459631628,2208.5527164360356,2039.0948833175412,2573.103088009891
b4216,15.588028169014086,93.25174825174825,80.18798955613578,18.51304347826087,26.38976377952756,89.19083969465649,22.83712121212121,24.584,40.888475836431226,61.38333333333333,63.58653846153845,49.38421052631579,41.44375,16.15,9.985663082437275,11.087248322147651,5.211604095563139,9.258064516129032,27.678030303030297,14.615384615384615,21.782945736434108,15.179054054054054,39.860520094562645,3.7433333333333336,45.78211009174312,4.372881355932203,14.061197765627908,102.58326355585585,402.32990399245904,78.34858998923913
b2330,494.6971830985916,326.28205128205127,276.7389033942559,311.4826086956522,347.64960629921256,365.2671755725191,359.2537878787878,458.304,322.4275092936803,336.4458333333334,353.5432692307692,320.92105263157896,264.40625,236.8875,363.82437275985666,238.9563758389262,302.42320819112626,340.7204301075269,331.0719696969697,282.36199095022624,238.34496124031006,292.2804054054054,269.9527186761229,370.4866666666667,274.8669724770642,297.2881355932204,446.4478746790698,633.5700307278378,926.299626260164,698.2523499996738
b4268,5.19718309859155,5.326340326340326,,2.4521739130434783,6.413385826771653,658.0763358778626,4.526515151515151,7.284000000000001,3.044609665427509,18.433333333333334,8.158653846153845,3.610526315789474,9.7,6.3062499999999995,4.724014336917563,13.12751677852349,5.75085324232082,,,2.3619909502262444,4.496124031007752,,,,,,,,,
b4088,6.651408450704226,40.277389277389275,52.06788511749347,8.369565217391305,26.80314960629921,33.66412213740458,14.977272727272727,18.648,17.981412639405203,24.5375,29.9375,38.61052631578948,3.4875,3.1999999999999997,4.781362007168458,2.2214765100671143,6.112627986348123,1.939068100358423,28.768939393939394,17.647058823529413,9.162790697674419,5.398648648648649,42.05673758865248,7.083333333333333,33.43807339449541,7.779661016949152,15.131664545441861,95.3916568299099,311.12597434311476,139.8616373172826
b4110,,,,,,,,,,,,,,,,,,,,,,,46.59810874704492,48.71666666666667,59.532110091743114,50.55649717514124,,,,
b4146,18.654929577464788,20.804195804195803,14.579634464751958,7.004347826086957,13.03543307086614,9.767175572519083,12.446969696969695,9.1,6.408921933085502,3.6875,1.9759615384615385,1.6789473684210527,0.13749999999999998,0.01875,1.2401433691756272,5.35234899328859,1.706484641638225,9.17921146953405,6.083333333333332,6.950226244343892,7.775193798449612,8.108108108108109,14.595744680851062,18.346666666666668,13.644495412844035,15.324858757062147,15.721222727860464,28.779181673783782,7.514470415245902,8.616057455
b4159,5.035211267605634,5.475524475524475,3.7310704960835506,6.739130434782609,7.893700787401575,10.732824427480915,5.715909090909091,10.048,5.141263940520446,5.85,6.115384615384616,8.710526315789474,3.925,4.425,4.817204301075269,6.077181208053691,5.051194539249146,4.39068100358423,4.390151515151515,7.633484162895928,3.7945736434108523,4.469594594594595,0.8226950354609929,0.3666666666666667,0.793577981651376,1.2966101694915253,8.798982797953489,18.347260307027025,39.494927915737705,29.201832804239128
