,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S
b1913,0.9372,3.8914999999999997,10.6176,0.713,0.8509000000000001,1.2576,4.1052,1.4625,1.6065,1.008,1.1544,0.9594999999999999,0.9882000000000001,5.864400000000001,7.027999999999999,2.8459,10.878,9.772,1.3992000000000002,1.7982000000000002,1.6899000000000002,2.5012,8.204400000000001,6.074999999999999,7.8262,7.646400000000001
b3092,202.94639999999998,762.6049999999999,360.1152,192.52149999999997,292.7858,323.97610000000003,301.5936,224.82500000000002,289.8315,242.808,237.55679999999998,203.80349999999999,234.8676,287.55,171.5,335.14570000000003,211.6359,223.664,306.6492,210.13410000000002,227.9559,478.3804,352.23800000000006,109.095,335.45840000000004,229.4451
b1004,7534.5768,7454.738,7930.2528,9485.958999999999,9325.5338,10099.392600000001,8902.4496,5233.112499999999,8083.935000000001,8602.284,7460.419199999999,6627.741499999999,21718.157400000004,21402.5004,16443.406,11935.7791,30322.704299999998,8414.294,8512.68,9019.0164,7474.1955,7589.1143999999995,1052.7496,1118.46,439.0956,868.8753
b0422,1307.1383999999998,2908.3695,1958.4576,732.6995,1229.7664,1002.1500000000001,933.1080000000001,792.175,996.4485000000001,705.5400000000001,593.8608,466.963,927.45,989.1071999999999,1263.4579999999999,1141.5039,1570.4009999999998,1028.8739999999998,1118.7792,773.5368000000001,1244.9274,1224.3891999999998,2616.0588000000002,1252.77,2092.8218,1169.3505
b3866,1667.9888,3879.0944999999997,5168.7168,844.6979999999999,1273.3147000000001,1120.9015,1293.0588,1253.925,1320.2325,781.2239999999999,569.764,509.7605,1298.0412000000001,1370.1474,1683.8639999999998,2057.3175,1626.2315999999998,1289.876,1341.1200000000001,859.2399000000001,1288.8261,1550.5220000000002,2475.5028,1350.69,3862.6984000000007,2234.7135
b0101,134.3178,547.4975,310.94399999999996,59.650499999999994,120.0912,137.9823,110.4444,108.21249999999999,72.468,55.967999999999996,23.3064,20.9,8.245800000000001,2.3814,83.44,23.1993,87.0975,51.884,30.3072,9.4905,27.605999999999998,4.8396,542.5928,227.19,805.5100000000001,191.0361
b2949,100.02479999999998,293.30299999999994,175.81439999999998,46.29899999999999,80.1243,91.2022,82.3152,70.0,94.608,75.228,29.7128,27.416999999999998,193.67100000000002,42.97860000000001,142.56199999999998,160.77100000000002,101.8269,103.94999999999999,74.8572,57.020700000000005,71.8014,106.58959999999999,222.5788,114.18,261.2948,149.2287
b0006,1140.8564,2375.492,1740.9407999999999,496.2365,659.0538,978.1115,790.878,712.3625,623.0385,438.66,301.7456,173.6885,173.42100000000002,144.27720000000002,749.2519999999998,1003.515,794.6967,1032.668,859.0956000000001,429.3924,693.6717,1236.4068,1636.9368,919.3050000000001,1672.6486,1166.3946
b2960,629.3014,1925.2175,1371.2448,294.9635,399.30070000000006,429.10360000000003,447.45360000000005,322.38750000000005,360.801,293.304,207.5112,177.81149999999997,418.2678,409.9248,597.982,765.0106999999999,615.7389,553.462,395.868,310.51140000000004,416.6055,587.9892,1493.9852,557.235,2016.2602000000002,882.9999
b0636,80.20159999999998,278.4035,183.01439999999997,26.3695,47.802800000000005,45.83690000000001,43.8768,37.712500000000006,32.035500000000006,23.016,16.088800000000003,8.664,20.8332,36.9198,80.038,27.2968,65.3562,45.346,36.418800000000005,17.982,35.836200000000005,47.4932,192.45360000000002,81.03,262.3412,140.6619
