,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
b0271,30.96,6.94,7.97,6.58,18.56,31.38,17.49,36.53,6.32,10.09,6.28,8.42,13.49,14.04,19.39,27.61,32.77,10.77,20.44,26.3,8.22,31.18
b2587,18.81,5.1,14.3,14.18,4.07,5.63,1.76,29.27,2.96,11.49,12.87,3.4,5.86,22.08,22.34,12.5,6.12,12.34,9.8,34.0,4.25,13.66
b3128,17.51,14.25,7.32,5.75,9.93,58.7,13.0,31.41,19.94,19.56,28.29,7.79,21.55,62.06,53.56,52.98,50.9,57.76,37.53,30.73,33.56,64.51
b3925,14.77,13.12,19.19,8.98,10.84,19.29,13.07,7.72,10.34,3.7,13.69,6.57,28.77,39.85,22.01,14.57,1.22,18.15,12.13,21.5,6.41,8.87
b3526,2.41,5.49,3.48,3.15,11.14,10.64,8.77,11.8,9.65,13.3,5.6,17.93,17.95,9.02,4.03,17.83,1.31,5.02,9.56,13.0,1.67,37.79
b1516,25.69,13.94,22.98,38.29,8.15,27.05,7.51,38.33,19.6,17.48,21.51,9.2,13.23,23.14,28.37,18.31,26.41,34.54,15.82,17.79,36.81,22.27
b3571,,,,,,,,,,,,,,,,,,,,,,
b2415,3.3,3.74,4.73,7.79,5.13,8.09,9.47,6.91,11.93,9.32,2.26,7.5,7.59,1.46,21.51,1.94,5.21,4.49,6.11,9.26,2.1,11.66
b4111,28.85,3.41,11.25,34.38,2.04,11.8,10.24,23.32,22.87,8.24,41.91,13.92,16.53,33.48,34.22,9.93,8.4,24.33,44.69,20.18,20.84,19.61
b3204,7.18,12.3,1.67,7.97,5.58,6.47,6.77,9.09,2.27,6.6,16.26,16.86,10.66,10.7,5.08,7.75,4.81,13.73,1.72,35.11,8.16,12.1
b4167,23.28,5.23,4.64,4.37,8.82,8.6,3.13,10.87,12.71,6.75,18.47,8.86,12.19,11.9,23.84,46.02,18.43,7.27,19.2,11.75,22.63,10.82
b3648,10.82,2.77,5.06,8.43,4.34,8.28,1.75,8.52,9.6,1.65,12.76,2.23,19.74,4.67,14.52,1.87,8.1,13.96,9.46,2.23,3.88,9.37
b1098,8.87,12.97,16.62,4.46,22.13,5.32,20.41,18.06,15.29,9.17,7.9,15.62,19.01,17.39,9.94,7.67,16.15,7.58,7.16,10.31,22.18,4.89
b2502,24.29,7.14,30.79,13.15,15.41,11.09,13.38,31.72,14.06,7.99,7.6,3.03,11.31,18.27,27.28,38.19,20.8,15.23,26.74,11.21,24.39,22.2
b2954,5.6,5.63,4.64,6.8,3.48,9.01,4.98,10.05,7.16,9.49,9.95,8.42,19.42,13.4,14.5,17.98,13.25,10.06,6.46,7.98,7.69,6.62
b3607,2.14,7.57,10.91,6.17,3.41,9.71,1.87,1.69,4.12,6.56,4.66,11.59,1.5,19.49,18.9,5.12,10.33,6.42,1.33,5.3,12.33,0.83
b1767,9.15,15.49,34.3,15.45,13.8,10.93,20.36,17.72,17.83,17.53,16.68,17.48,9.42,12.62,12.49,47.67,11.61,16.8,0.8,9.21,14.83,1.22
b0268,2.76,5.22,22.66,17.76,2.76,20.71,5.53,15.83,2.17,12.09,26.62,10.68,64.8,69.6,30.04,105.73,61.31,16.51,1.65,5.49,10.16,5.03
b2290,28.7,10.31,8.39,26.73,14.64,14.97,8.09,18.2,6.54,6.91,13.01,9.67,11.34,14.56,25.74,17.28,10.65,17.47,19.22,14.08,15.21,14.52
b2379,48.04,17.45,26.69,46.77,13.13,16.74,10.23,3.52,9.78,10.25,6.7,8.98,17.29,9.19,23.06,49.15,9.04,17.91,12.34,16.61,11.63,7.94
b1748,95.87,2.83,9.71,20.43,8.7,21.06,7.15,22.05,22.87,6.71,13.14,8.77,14.69,8.25,13.09,13.18,11.17,5.84,11.25,11.58,28.73,18.72
b0809,7.68,9.17,10.91,13.31,9.81,8.62,4.38,7.44,7.49,5.67,5.87,9.43,24.48,26.43,16.05,9.81,28.55,16.38,13.37,3.64,2.01,10.93
b0828,27.7,13.14,7.3,5.22,2.14,5.86,3.53,8.34,12.91,13.05,12.63,4.13,14.09,36.99,28.46,10.68,7.62,10.44,21.21,14.63,7.94,3.59
b1329,6.12,11.65,13.89,17.34,3.47,10.84,4.29,9.94,14.39,2.25,5.03,5.23,28.68,34.97,15.1,24.83,15.93,14.05,32.1,9.96,9.48,7.86
b2677,21.86,34.92,13.97,38.78,27.05,17.5,54.72,158.79,34.81,56.74,22.23,19.93,66.47,88.43,28.2,116.44,20.03,53.75,25.65,41.28,27.32,66.33
b1441,22.96,9.12,15.51,3.08,8.96,10.1,7.24,19.58,5.78,14.07,9.01,3.08,47.83,9.5,80.03,57.23,31.99,14.76,4.52,40.87,50.49,38.73
b3613,39.32,15.35,11.33,36.59,9.4,5.14,13.7,37.61,16.84,11.67,1.38,8.43,24.73,20.11,29.32,15.6,11.81,8.29,96.92,21.28,27.8,13.88
b3893,12.07,57.64,72.66,48.75,57.14,67.37,14.59,25.76,37.06,34.44,114.48,60.69,93.97,69.12,46.49,45.6,91.93,36.94,41.04,16.47,74.29,68.84
b3608,16.99,4.4,8.46,1.6,5.01,4.46,6.59,2.33,11.38,3.9,2.15,12.11,21.82,26.29,18.75,26.6,4.16,17.19,7.9,11.56,11.65,11.91
b2281,12.78,7.12,8.69,15.11,3.75,5.3,5.58,7.71,5.36,3.46,1.18,11.77,98.17,22.34,39.77,29.92,17.69,16.22,10.51,10.79,16.04,9.58
b1650,13.34,6.96,15.93,2.11,14.67,7.79,3.04,7.96,8.24,5.12,2.97,17.15,15.84,36.55,29.42,5.29,11.41,14.46,11.83,9.78,17.24,5.23
b0886,31.5,4.18,42.39,9.98,13.86,2.95,25.52,43.12,15.01,9.1,16.11,3.26,44.43,10.91,41.65,19.62,7.32,23.92,13.5,8.4,25.95,26.39
b0887,29.78,18.59,26.88,14.86,24.22,9.21,12.72,41.27,22.57,8.39,18.32,7.57,30.54,14.06,42.31,48.61,21.24,29.67,22.56,32.14,2.74,36.96
b0240,9.0,2.11,3.17,6.98,17.63,13.11,6.82,2.66,3.39,2.05,5.86,1.97,9.61,2.11,5.27,3.88,7.87,6.12,6.46,13.52,14.16,4.63
b4037,26.98,7.23,6.05,25.76,9.96,3.26,6.81,15.99,9.12,8.52,5.34,3.96,20.97,61.92,5.26,49.71,21.73,15.41,5.11,12.3,21.32,4.75
b1610,,,,,,,,,,,,,,,,,,,,,,
b0865,53.16,6.17,8.34,10.36,6.55,6.28,3.92,15.71,8.96,5.0,2.43,1.03,13.27,8.63,7.53,19.98,6.67,9.83,8.57,11.73,20.47,9.14
b3097,,,,,,,,,,,,,,,,,,,,,,
b4403,14.59,0.86,36.26,21.56,6.66,36.85,8.78,21.82,28.41,6.22,12.8,21.84,16.0,2.85,17.38,16.94,5.15,36.12,14.15,26.7,6.79,18.99
b3865,10.22,1.79,7.21,10.66,8.35,6.15,6.82,11.25,4.98,0.73,2.76,2.41,6.22,3.62,6.01,1.35,2.07,3.8,9.55,4.95,9.25,1.58
b2812,,,,,,,,,,,,,,,,,,,,,,
b2685,13.85,8.68,8.45,8.55,21.59,20.27,16.26,45.77,5.37,12.25,32.26,17.85,92.41,24.88,27.9,20.9,13.23,11.91,21.63,30.24,16.56,10.68
b1290,,,,,,,,,,,,,,,,,,,,,,
b0795,14.71,13.07,24.49,7.37,3.92,19.45,7.31,3.65,22.13,16.01,14.37,2.7,16.83,17.21,24.14,15.18,10.91,28.35,23.8,16.34,5.49,11.4
b3689,8.37,26.69,13.65,18.56,10.33,35.51,2.01,31.97,13.13,21.72,15.45,9.59,15.76,28.98,6.79,22.88,8.12,8.85,16.09,6.08,11.37,22.17
b4484,36.82,16.91,8.7,10.15,11.48,4.81,15.97,34.08,16.96,5.54,6.03,6.19,10.64,33.74,4.64,34.33,21.19,28.99,16.18,25.32,23.97,3.26
b0049,12.8,9.83,17.49,19.5,2.83,16.33,7.23,10.59,24.2,6.14,8.26,11.48,6.17,5.08,22.23,69.07,24.71,11.6,22.74,13.82,17.2,3.66
b2571,8.88,1.82,1.35,10.52,6.3,7.77,12.42,3.82,4.27,16.37,9.41,7.73,11.51,4.4,26.13,14.2,3.14,20.45,8.92,23.08,3.97,4.31
b3869,31.4,13.97,27.56,37.05,5.81,29.89,8.7,8.44,9.21,31.06,23.22,10.69,32.5,79.04,36.16,41.16,10.41,30.88,10.93,30.47,11.46,14.5
b2782,,,,,,,,,,,,,,,,,,,,,,
b1895,,,,,,,,,,,,,,,,,,,,,,
b3923,21.09,21.18,24.74,19.01,13.53,9.79,5.62,8.07,15.13,1.57,12.49,4.3,8.16,3.49,20.39,16.45,3.12,27.15,6.62,12.33,14.4,18.23
b2193,8.88,6.61,16.06,3.69,10.15,15.01,7.6,9.86,14.08,8.17,10.65,12.82,15.51,23.54,9.0,6.02,0.13,3.41,5.6,2.9,5.35,7.59
b1832,9.75,2.3,7.49,31.23,2.93,16.89,13.79,8.11,7.31,9.85,5.82,2.73,9.74,3.08,19.0,10.32,5.23,12.2,12.72,8.26,16.92,44.89
b0481,10.3,14.56,7.2,8.25,1.1,12.38,12.19,27.47,1.01,15.08,9.2,9.23,14.55,18.99,11.74,25.88,6.85,7.88,4.42,21.94,7.87,29.02
b1257,22.81,9.96,30.53,9.19,11.04,14.94,9.03,5.09,28.18,15.86,7.99,6.92,14.87,36.57,26.22,19.12,9.76,21.1,20.79,28.17,25.17,36.39
b1784,12.88,10.78,51.88,14.95,21.84,8.17,16.19,34.88,27.65,13.38,8.22,6.58,23.12,20.37,10.24,57.68,40.42,21.68,11.93,18.13,31.66,8.52
b1983,17.1,34.14,34.5,6.95,9.09,2.84,3.13,15.43,5.94,2.12,8.7,6.76,7.84,3.0,17.99,3.75,3.18,11.41,3.42,5.2,17.75,11.78
b1976,4.25,3.2,14.37,7.26,8.35,6.47,11.49,4.64,14.84,7.17,15.56,1.14,9.85,11.62,8.59,37.21,12.98,20.01,11.88,6.7,8.07,10.71
b0925,,,,,,,,,,,,,,,,,,,,,,
b3910,22.14,18.16,18.03,20.49,6.46,5.76,4.95,9.75,22.67,19.59,5.16,13.03,29.44,74.09,32.64,2.67,11.86,16.26,16.01,7.13,26.71,10.22
b3999,11.84,15.22,19.79,5.09,21.48,9.51,15.6,4.88,13.03,10.0,18.58,1.35,17.41,19.93,47.46,33.02,10.99,5.09,15.84,6.49,16.27,14.14
b1678,56.38,20.0,72.06,2.93,7.89,3.14,6.36,15.4,8.86,8.03,10.94,3.52,7.43,3.15,2.58,20.88,5.25,27.48,13.51,7.72,11.73,10.47
b3848,,,,,,,,,,,,,,,,,,,,,,
b4056,,,,,,,,,,,,,,,,,,,,,,
b4394,,,,,,,,,,,,,,,,,,,,,,
b0102,6.43,4.86,4.85,7.94,22.42,14.91,12.08,14.38,8.6,6.24,7.25,6.62,3.05,18.95,9.2,36.58,19.59,12.58,16.91,10.99,7.7,4.72
b3885,27.96,7.91,15.94,21.18,27.23,5.81,2.57,1.51,29.71,9.61,11.25,5.94,58.33,50.26,14.32,47.13,11.28,21.85,7.96,11.77,15.54,3.49
b4055,7.96,7.79,9.52,10.24,18.51,10.88,10.02,11.62,21.44,4.9,13.08,13.64,44.16,13.39,20.39,58.26,6.6,5.66,15.71,13.92,1.96,24.13
b4172,0.68,5.95,3.7,7.86,14.03,6.68,9.56,5.16,8.04,5.2,8.25,7.06,14.18,3.67,4.7,18.55,14.56,10.12,3.97,10.8,7.18,6.34
b1519,52.9,8.77,31.54,20.17,8.27,15.39,6.49,3.4,39.96,3.47,1.7,3.72,15.22,8.24,21.06,34.93,12.93,17.29,11.49,15.43,26.05,7.87
b3244,9.59,9.77,11.29,5.27,6.5,6.42,2.71,9.66,6.6,11.14,11.38,6.05,5.17,7.18,3.87,65.62,9.11,3.41,8.41,12.08,14.49,6.48
b0773,38.48,3.57,3.66,12.19,1.41,7.91,4.87,3.91,16.53,8.92,2.64,6.0,26.59,6.25,29.53,13.12,8.35,9.75,13.72,12.66,34.07,21.93
b1055,13.47,15.29,52.61,18.76,7.97,11.09,5.8,16.33,16.35,10.67,43.63,12.73,77.44,59.68,25.78,61.94,45.02,37.55,14.37,31.66,21.81,18.35
b1834,44.9,11.91,31.6,31.43,12.17,10.91,13.02,66.97,7.29,6.55,16.69,5.27,34.39,21.98,13.37,7.47,23.98,32.45,26.61,32.48,45.95,19.7
b2173,27.32,9.48,13.45,6.93,16.76,10.98,8.23,9.19,14.38,2.76,32.13,23.01,66.55,12.97,25.46,27.41,8.76,26.48,3.77,7.64,5.5,9.02
b2188,36.04,14.35,24.46,22.66,10.66,10.91,25.32,63.36,13.84,12.6,13.95,3.68,17.54,31.56,24.74,15.16,10.85,6.5,26.62,49.09,25.92,37.96
b2293,9.42,3.1,1.79,3.86,12.99,21.76,9.96,7.76,7.58,5.69,8.45,6.44,10.16,6.43,27.66,30.36,20.59,5.36,5.08,3.35,9.47,11.0
b3087,17.78,18.44,7.78,3.88,13.1,19.06,13.36,19.28,3.18,7.74,12.57,5.77,13.33,24.24,7.89,64.15,28.19,6.39,5.13,16.86,20.46,8.25
b2977,129.53,12.14,15.11,6.2,25.97,6.14,13.66,9.65,15.04,15.03,0.9,4.17,19.76,22.03,20.13,29.78,10.27,27.69,20.3,19.44,7.12,17.14
b3351,,,,,,,,,,,,,,,,,,,,,,
b2428,6.29,20.82,8.59,14.35,2.44,30.35,10.32,25.62,2.83,6.92,8.67,7.15,22.49,7.43,32.87,112.23,7.01,13.67,9.58,25.65,11.73,15.03
b3163,9.81,5.73,8.68,8.31,4.24,10.36,3.22,2.38,4.79,11.36,4.91,4.63,20.82,14.16,28.68,16.32,10.31,9.19,18.67,10.83,13.23,8.47
b0444,4.62,4.18,9.56,7.53,19.67,15.81,7.16,9.08,6.83,9.66,22.13,3.78,6.52,4.6,15.73,53.99,4.8,3.07,13.35,10.62,25.83,2.14
b3746,30.69,24.18,30.31,17.8,24.18,21.79,15.04,32.05,29.51,18.49,14.53,15.6,25.04,27.5,11.27,39.34,11.6,17.25,16.39,17.41,33.32,20.69
b0927,5.51,7.41,10.41,11.2,11.24,14.27,8.05,3.05,7.55,3.56,6.61,13.46,18.49,13.68,11.05,30.17,11.78,18.18,13.76,13.62,15.77,32.17
b1088,17.19,10.85,5.87,11.83,10.42,5.81,9.48,26.99,5.69,3.34,10.14,7.78,30.38,10.42,10.23,16.47,10.09,8.66,2.5,12.27,17.58,12.65
b1327,,,,,,,,,,,,,,,,,,,,,,
b1045,20.82,2.17,26.59,15.35,13.74,20.07,14.21,10.8,5.72,12.58,1.98,14.62,24.24,29.91,22.39,14.69,2.95,17.0,11.89,12.03,20.3,22.51
b2690,13.75,8.1,18.78,33.88,16.5,3.56,25.79,13.25,30.09,35.27,27.62,10.09,51.52,44.16,73.45,34.17,86.14,13.58,25.86,45.16,90.9,119.06
b4168,4.32,6.04,5.7,6.7,1.48,8.12,6.74,20.66,4.79,14.58,7.41,2.44,50.57,31.96,17.5,27.66,2.21,8.58,8.18,21.66,10.84,2.75
b0351,,,,,,,,,,,,,,,,,,,,,,
b1180,43.95,40.29,34.07,31.07,15.65,17.31,34.03,21.38,17.98,1.89,2.31,10.52,15.27,12.23,10.53,7.13,9.01,7.03,19.02,20.52,21.35,22.47
b1102,37.56,26.87,7.94,40.5,9.3,36.38,17.17,20.29,39.36,22.7,2.69,3.85,29.12,5.43,31.95,45.78,12.16,12.32,26.61,19.9,57.98,15.11
b3725,21.74,26.83,3.94,12.07,24.17,5.05,12.57,33.94,10.0,15.75,23.36,7.56,57.92,28.2,36.38,22.45,44.89,11.63,38.05,8.21,12.18,11.5
b0478,18.91,3.77,29.94,16.74,9.35,29.88,15.69,33.12,14.48,10.1,17.35,20.16,33.48,11.6,58.17,59.9,17.7,21.81,3.08,18.55,15.24,22.01
b3469,61.05,12.53,7.3,3.54,15.63,15.64,6.7,38.3,35.39,7.43,13.19,14.2,56.69,66.7,35.13,12.42,17.67,19.24,28.35,8.4,30.42,9.56
b3610,6.81,11.97,10.06,24.71,1.62,12.14,12.92,13.15,12.81,6.66,8.42,5.45,4.58,9.61,2.82,25.54,2.65,13.63,3.89,20.99,9.33,13.26
b3687,4.38,7.73,5.65,10.49,9.11,8.08,0.54,9.64,9.7,6.83,5.24,14.69,7.94,18.3,5.91,12.69,13.12,16.51,3.4,4.8,6.61,5.88
b4219,32.21,10.53,8.94,2.75,6.68,3.12,5.31,12.7,13.99,4.73,14.07,5.34,9.53,6.29,10.4,12.88,5.7,11.5,10.64,11.91,12.66,8.88
b2743,3.03,11.36,7.13,5.29,6.04,15.24,9.13,12.64,0.5,14.33,4.87,12.51,3.65,14.83,2.13,16.11,19.16,7.4,5.34,7.4,5.17,10.21
b3775,12.9,3.74,11.01,24.07,4.04,23.43,20.42,10.23,9.48,8.2,12.76,3.51,36.26,17.34,10.07,26.68,23.93,13.15,24.16,12.67,15.96,11.48
b2620,2.35,1.83,18.97,31.06,11.2,2.57,2.65,17.65,13.3,3.75,3.78,3.51,46.17,8.17,12.1,18.1,5.94,11.5,3.9,7.24,7.92,8.71
b3235,21.78,14.48,43.88,23.3,20.68,22.09,15.86,16.05,17.28,1.98,18.16,3.88,30.3,28.44,40.0,19.24,7.57,20.84,28.79,16.83,27.95,11.37
b1654,10.85,2.37,4.01,7.42,6.74,3.35,10.43,5.38,1.46,2.0,4.52,4.45,9.42,8.63,9.67,12.28,7.88,4.65,3.19,7.33,6.51,12.06
b0955,17.69,4.64,7.45,9.66,11.21,10.45,5.0,6.02,2.78,0.99,7.65,3.72,2.79,1.11,72.02,18.32,14.81,29.47,15.98,22.53,2.81,15.86
b2777,6.44,1.7,20.77,6.32,21.27,13.28,9.96,4.98,12.92,15.89,4.98,6.04,22.06,46.3,12.5,79.36,9.56,4.22,9.77,5.61,1.62,2.34
b2064,11.22,11.06,22.08,13.35,17.98,12.88,16.04,16.29,14.85,3.61,6.11,3.77,19.63,16.16,41.7,24.53,17.6,20.78,22.81,22.93,17.25,20.54
b0084,21.48,23.49,37.58,15.71,23.97,10.0,17.26,37.62,29.15,13.15,21.82,14.54,65.13,80.32,70.35,84.2,28.77,13.49,49.32,59.66,28.09,37.97
b0891,7.91,5.56,14.81,33.38,20.7,13.12,1.08,2.85,8.21,16.26,3.6,7.24,5.48,29.76,7.1,17.43,14.19,9.79,18.27,6.01,11.07,1.87
b0181,6.08,6.42,8.72,1.81,8.69,3.84,8.65,1.69,12.36,18.99,4.67,8.42,9.75,13.66,27.55,3.39,5.52,3.21,11.14,8.52,4.39,2.0
b0182,14.22,23.29,14.72,13.2,11.33,20.48,17.9,1.61,11.26,1.84,8.56,9.38,45.4,28.26,32.55,18.08,37.99,7.72,22.69,24.82,29.12,22.88
b4233,9.71,5.54,13.44,3.15,8.01,24.69,11.39,7.02,11.35,1.45,16.63,19.76,6.79,17.98,10.62,42.84,11.83,8.62,13.37,17.21,14.3,24.69
b0090,13.61,26.73,1.84,3.85,32.75,20.01,43.24,1.16,22.25,21.06,60.56,33.11,41.46,20.18,44.99,25.67,6.48,15.01,10.08,1.45,4.65,12.34
b0411,1.71,3.47,5.64,11.12,6.37,5.23,12.72,14.88,7.02,3.01,4.59,9.09,8.22,1.62,6.12,5.7,2.9,4.56,6.95,12.31,11.06,6.71
b2032,36.81,8.55,12.28,18.86,7.02,25.92,16.63,48.76,6.16,8.36,18.74,12.96,13.06,15.93,73.63,18.23,18.98,15.59,25.77,38.11,27.67,21.95
b3197,17.94,6.36,3.63,4.62,13.56,11.33,7.0,28.52,9.02,9.48,22.05,13.71,24.81,32.61,64.33,24.06,31.32,11.79,13.93,11.22,25.8,26.06
b0878,20.98,1.84,35.95,4.76,16.79,6.85,5.6,33.85,15.35,31.23,25.78,12.65,30.18,13.86,23.73,13.0,26.33,16.11,6.8,23.66,9.56,21.33
b2346,14.41,3.68,6.45,3.32,1.27,6.9,8.11,10.27,10.76,2.11,2.72,9.36,5.82,6.5,20.64,5.93,3.44,14.82,2.44,7.98,11.46,4.95
b2131,59.14,7.25,10.22,10.25,5.87,2.02,9.69,2.52,17.72,9.4,3.75,7.73,37.61,31.4,7.33,21.63,5.42,15.77,8.39,8.25,26.79,12.49
b3621,,,,,,,,,,,,,,,,,,,,,,
b3788,23.44,12.08,11.93,13.35,2.25,12.53,10.78,10.54,26.72,15.17,33.67,47.47,19.58,29.03,32.84,57.19,3.92,13.99,19.04,27.43,13.76,21.3
b3740,9.14,9.9,3.41,4.87,6.09,8.93,4.58,7.68,7.58,1.5,2.49,7.41,28.0,4.44,12.68,19.12,6.71,4.99,19.14,4.11,10.47,6.72
b3785,15.07,21.42,17.88,13.6,11.16,5.86,6.24,5.41,4.62,10.13,4.79,9.32,18.48,51.19,32.6,20.7,8.07,18.15,9.27,6.57,10.64,7.09
b0962,32.59,5.19,16.52,11.47,25.16,12.71,26.01,26.96,4.63,10.44,14.28,11.72,27.23,18.98,57.36,18.56,2.72,19.96,14.57,12.28,13.15,22.29
b4000,10.05,5.69,4.94,8.39,3.75,6.49,3.99,2.46,7.2,3.14,4.87,12.47,12.04,8.91,14.72,7.03,4.43,3.4,8.39,7.61,4.75,3.69
b2580,25.73,18.1,13.85,6.53,26.98,5.0,12.97,5.01,2.32,13.26,16.1,3.86,29.38,2.03,13.3,28.38,7.95,14.29,8.8,14.3,8.21,13.57
b3996,3.82,4.46,9.39,7.18,8.15,3.29,10.68,22.28,17.63,5.36,8.26,4.8,14.66,12.03,6.43,22.99,31.12,7.98,16.2,17.26,11.1,1.94
b3030,22.83,7.05,16.85,12.98,14.81,15.51,4.81,8.56,5.43,5.56,15.58,20.46,47.94,17.3,42.32,44.05,10.26,9.73,19.45,25.35,28.15,13.8
b2509,32.12,13.37,5.8,19.25,12.99,17.07,12.74,17.52,5.42,15.38,12.54,3.94,8.11,26.17,11.42,46.28,5.54,6.14,21.56,6.83,12.75,21.69
b3438,9.18,8.7,6.23,5.58,14.64,30.47,10.86,7.26,12.95,20.62,25.2,12.07,16.2,13.46,16.96,17.43,17.79,2.81,4.21,8.53,2.37,15.59
b0346,19.21,9.73,20.15,10.15,30.59,19.37,19.42,9.67,5.12,5.0,5.54,3.8,91.31,30.89,43.05,20.51,17.7,19.55,7.1,6.71,20.7,2.94
b3995,32.74,1.91,23.29,18.98,5.12,15.82,2.24,18.09,10.75,11.58,17.14,8.48,27.62,8.58,5.69,12.35,14.2,8.96,2.31,18.05,6.95,3.26
b0506,26.23,2.92,11.18,4.75,11.06,7.96,4.03,4.57,21.76,7.02,3.93,4.49,18.01,20.29,23.35,34.26,11.78,12.49,10.17,5.26,9.83,18.59
b2714,,,,,,,,,,,,,,,,,,,,,,
b4480,,,,,,,,,,,,,,,,,,,,,,
b2573,7.0,4.89,11.95,2.44,3.44,5.52,11.66,3.93,9.34,5.87,9.97,9.22,5.38,0.4,15.93,13.52,9.61,12.31,10.14,11.19,7.32,15.38
b0394,21.64,2.34,11.11,6.65,13.68,10.91,6.25,7.19,8.18,5.95,5.04,5.27,22.92,8.24,5.29,5.94,8.39,7.92,7.88,6.03,12.02,9.75
b3287,14.78,18.27,4.89,40.07,4.83,8.56,6.33,12.15,11.98,2.2,19.09,15.11,6.04,14.56,7.56,7.21,11.34,17.36,10.12,7.96,9.38,9.18
b3259,19.05,9.01,6.46,8.54,12.23,10.27,9.94,24.09,15.27,16.29,18.43,2.95,38.93,14.63,31.25,49.49,29.69,14.09,8.91,75.17,7.19,29.51
b0405,10.17,6.12,9.32,3.47,9.17,1.03,5.78,10.96,3.78,13.13,15.99,4.59,36.42,13.61,4.99,25.13,16.58,13.06,6.74,40.32,2.1,1.52
b3313,14.11,8.69,14.22,12.64,11.43,6.25,10.58,25.6,10.89,2.75,9.66,3.99,17.68,8.0,25.85,14.15,10.32,8.63,14.32,15.3,10.92,11.82
b3304,16.39,3.7,11.99,4.38,13.3,3.37,5.8,4.83,7.04,8.14,3.98,2.45,9.03,48.8,24.96,23.1,6.02,8.94,3.7,5.59,8.14,3.92
b3186,12.87,7.31,8.43,2.73,8.99,11.29,4.47,24.21,4.16,13.24,4.79,3.08,3.69,14.33,25.51,9.42,9.85,16.93,8.97,12.73,7.07,7.57
b3297,16.07,4.62,6.57,6.83,2.8,4.73,4.79,10.92,5.94,6.94,5.77,5.14,14.02,6.4,4.57,11.79,3.63,9.32,2.82,13.04,1.74,5.79
b3342,22.99,8.02,17.14,13.9,6.49,41.68,7.18,24.7,12.53,8.59,1.12,5.56,16.78,12.87,7.5,26.53,15.92,18.32,10.29,24.37,11.75,13.8
b2609,22.23,7.99,4.55,8.42,2.32,11.62,7.09,11.39,5.12,5.51,14.81,2.8,5.0,9.63,8.19,4.25,8.32,2.48,3.33,4.95,6.55,7.61
b0023,15.9,4.13,5.09,2.48,2.98,1.74,1.27,8.04,6.75,4.67,4.14,5.98,7.23,11.47,5.17,24.5,6.07,6.99,1.74,3.49,6.11,2.03
b2330,4.92,7.14,7.97,9.43,18.72,4.04,7.86,3.07,8.77,3.37,7.19,8.4,1.12,9.88,11.18,11.16,16.65,4.08,1.21,11.01,11.13,8.77
b2597,13.27,7.04,5.17,13.29,16.09,20.81,19.69,14.85,7.96,8.46,9.14,10.92,8.7,8.89,17.6,17.65,2.42,19.46,5.4,4.37,11.83,6.92
b0051,12.61,0.26,10.86,9.24,2.88,22.03,1.77,12.37,10.0,15.63,14.97,17.83,28.65,14.04,26.88,27.61,6.61,7.54,16.12,32.82,11.75,10.84
b1430,10.27,2.92,16.13,6.02,7.64,2.12,6.6,11.25,7.25,6.43,6.94,8.88,15.12,14.73,21.18,24.47,6.49,16.27,11.06,10.93,7.26,3.83
b3282,15.98,13.83,9.17,4.15,7.17,9.4,8.11,10.36,5.35,1.99,13.85,8.14,15.56,16.66,2.19,29.54,5.54,5.06,7.66,2.04,4.7,31.05
b1208,12.6,3.33,20.74,8.66,8.58,5.25,14.95,14.28,5.83,3.33,11.76,4.24,40.21,16.02,13.96,35.56,42.22,10.51,11.66,13.81,5.02,5.05
b2746,51.3,0.93,35.53,10.48,12.69,4.79,17.27,5.46,14.1,3.16,8.2,9.3,6.3,10.14,14.62,19.72,6.16,34.13,7.91,10.82,3.69,9.35
b0778,9.63,8.36,10.68,23.66,12.98,26.51,7.47,17.41,16.62,15.12,12.48,5.91,18.38,7.88,10.55,8.74,11.42,32.82,9.96,7.44,16.91,11.65
b0776,13.0,6.87,4.84,37.74,8.42,19.7,22.06,26.43,4.49,2.18,18.02,15.13,25.21,10.5,9.84,37.32,4.03,13.85,78.31,22.48,16.11,28.78
b0048,6.52,7.67,0.66,8.42,4.97,4.79,3.33,5.2,7.86,3.57,3.66,6.43,13.64,7.63,14.54,61.22,4.13,8.11,0.49,8.36,5.81,10.39
b2303,18.35,3.69,4.9,5.3,4.26,17.83,0.24,10.6,7.27,1.31,5.91,11.37,13.52,8.19,11.36,19.78,8.42,3.83,2.0,4.21,9.07,5.8
