,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
b3770,8.22,4.68,4.43,2.0,10.44,5.47,2.03,5.66,8.27,6.05,8.35,1.96,9.83,2.9,9.89,20.55,5.39,17.75,0.24,12.15,3.43,8.87
b1919,16.91,0.66,4.85,9.16,3.57,6.27,6.27,3.53,9.05,3.61,5.97,9.25,25.93,1.24,0.21,13.06,4.22,1.26,3.75,8.32,8.79,2.04
b1487,44.86,5.19,51.9,15.39,14.33,27.77,5.55,7.5,18.4,10.57,9.73,6.5,16.89,13.82,37.46,27.03,22.92,11.95,8.37,10.15,37.37,28.96
b1492,15.37,9.2,30.73,28.9,20.56,2.6,16.82,36.71,41.54,19.97,36.3,12.45,21.23,7.22,17.36,27.99,18.19,39.6,14.14,9.52,42.26,4.22
b2937,5.91,0.37,2.83,2.54,10.57,4.02,5.32,14.1,5.88,6.68,1.17,9.36,10.0,12.47,15.05,19.3,7.25,7.95,5.92,10.25,6.11,0.97
b3616,11.49,7.79,4.39,19.14,14.71,11.83,19.76,9.19,7.42,4.75,14.79,5.4,27.77,16.87,40.9,55.7,14.95,42.5,3.21,9.18,16.62,44.55
b1087,15.4,6.8,12.97,8.12,13.07,2.05,5.17,13.04,4.44,10.89,2.59,1.67,9.51,10.37,5.34,18.16,11.4,10.49,7.49,4.38,17.78,13.47
b2525,11.75,9.41,3.6,9.84,1.31,13.86,6.1,7.54,10.3,2.6,12.03,5.45,11.29,3.73,6.91,20.05,4.79,7.67,8.89,16.44,3.33,5.17
b3945,29.92,36.91,3.57,8.1,10.19,13.17,7.33,9.61,14.04,8.61,16.08,12.72,16.02,17.1,26.91,2.66,14.62,3.95,31.25,16.5,24.32,12.76
b3365,45.82,45.55,50.72,21.34,27.58,32.63,3.65,15.87,21.81,47.61,50.09,26.57,109.45,37.75,21.79,45.4,40.56,57.82,44.29,49.47,44.36,37.22
b0599,20.63,14.11,18.81,11.36,10.25,13.2,2.91,5.07,4.47,2.95,1.93,4.21,10.19,6.65,22.24,12.54,3.33,26.76,4.84,6.51,18.88,11.22
b1847,56.12,4.56,7.3,8.69,8.44,11.57,6.02,10.18,7.72,2.55,6.39,10.42,20.24,13.68,3.84,7.47,4.82,15.69,10.71,3.5,20.01,3.35
b1928,10.33,5.52,5.06,9.21,5.11,11.05,10.6,9.29,6.9,9.22,3.64,5.24,7.15,5.25,16.41,2.16,3.19,5.44,13.15,6.65,8.23,2.98
b3055,15.6,7.95,15.58,16.65,4.13,1.52,3.54,11.26,6.02,7.92,2.71,4.71,11.99,4.95,20.09,18.51,4.17,26.71,9.51,15.49,23.12,6.22
b4395,11.73,17.8,2.25,7.23,3.05,2.63,6.03,9.49,4.7,12.09,9.89,12.07,12.97,24.38,4.17,8.83,2.66,2.11,9.75,10.16,18.97,12.11
b2916,11.46,8.34,7.7,5.4,5.56,10.7,7.24,9.85,10.12,6.58,8.11,1.77,16.21,9.28,9.06,7.0,10.36,5.39,6.11,9.57,9.35,3.35
