,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.58_S,GLC_BATCH_mu=0.6_H,GLC+AA_CHEM_mu=0.63_P,GLC@pH6_BATCH_mu=0.63_S,GLC+AA_CHEM_mu=0.65_P,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S
b0048,464.1624,408.0132,837.6847067355161,433.92211333915503,396.06,161.8135,161.0024,,424.66,,,,,,193.3509,203.50400000000002,,315.35,,213.912,,354.675,270.5,,45.177339644700005,400.8247,297.2418,,,319.9413,392.4756,305.7912,240.95,262.38599999999997,69.238008905,,130.0846628052,,312.10200000000003,306.152,695.9198471410621,418.616,1210.938520556525,,365.8977,,390.86800000000005,344.48800000000006,373.425,,,,,523.9377,1693.8432,819.7192000000001,1227.0265,880.7854
b0049,28.6092,37.51920000000001,32.959185958127996,17.179746406268002,95.05,38.836,43.368,,91.31,90.38393324559999,,,,62.24316505229999,39.8934,58.05199999999999,74.9221787564,80.88,75.7659784563,47.496,,56.7375,70.71,59.3963276718,73.09709462970001,57.403999999999996,51.5097,,,53.82790000000001,53.922,53.1432,70.07,50.80050000000001,,58.3782038811,88.1386870697,,87.87799999999999,58.646,20.540167585908,81.1814,42.478982322905004,73.7543557019,87.9795,,45.8356,89.3106,66.6,67.5299239861,,58.3008720678,,103.368,122.0736,130.2528,197.6065,176.8198
b0050,34.7814,31.5738,52.677784805676005,112.190783916682,,13.015,18.1584,,,,,,,,19.9467,22.586,,,,18.864,,19.975,,,,15.5194,14.964,,,25.6498,18.018,27.0204,,14.485500000000002,,,,,42.392,25.928,74.33418755040901,18.46,119.47700416042498,,83.20200000000001,,15.3032,28.608,0.015,,,,,14.0715,21.7728,2.2048,35.6255,20.0342
b0051,167.84820000000005,142.9488,220.05146600086803,150.538386798147,239.7,63.4695,63.4816,141.4333273634,232.68,148.4914286884,166.6359122434,,,,81.99570000000001,127.489,159.2961377709,235.28,,93.444,167.2711789105,174.4,218.32,219.4802539664,135.9884743204,167.8432,189.1914,,187.3704060345,154.9599,226.44600000000003,156.1956,323.73,139.77900000000002,213.5049243281,200.79608357200001,175.1537416148,,218.61,215.15200000000002,207.77613875334603,358.7488,506.9698382692599,133.6792711864,259.2639,,263.9432,363.9921,295.185,155.5647968719,,164.0667350944,,436.7829,611.7696,786.3716000000002,969.2415,1009.6452
b0052,172.5624,122.2452,127.351176978744,59.162300107433005,,76.5605,100.9112,,,,,,,,143.3787,163.27700000000002,,,,127.704,,218.15,,,,194.2338,183.2316,,,231.29360000000003,219.14640000000003,176.03520000000003,,154.7235,,,,,372.05,266.7,149.16363659290198,261.28,295.641511034005,,348.6987000000001,,235.2312,275.12850000000003,180.84,,,,,195.9921,305.0687999999999,330.4656,383.173,263.8672
b0053,1285.4376000000002,1095.1362,932.042003426372,676.286007100588,2014.05,770.184,914.7528,1338.3141597753,1791.62,1325.4034914048,1653.1126875181,1595.7398234604,1507.4324389362,1217.1191359688,1314.2955000000004,1034.494,1176.2699176241001,1524.44,1340.7779550151,1179.24,1147.8959865609,1508.4625,1359.37,1052.9116135939,1275.9048050921,1429.1944999999996,1533.3714000000002,1352.8052744075999,1133.3259672796,1482.7234999999996,1715.1024,1566.4704000000004,1437.12,1389.717,1085.0590039811,1087.2927493458,1191.1635822708,1111.1594161035,2122.3160000000003,1734.18,848.9808494365501,2206.6658,1697.6758029685254,1055.7682573964,1789.3134,1059.7460938033,2084.728,2091.8855,2298.9,1421.8066142354,960.2710907487,1009.3231041396001,722.2761942167999,2465.7516,3482.0736,4930.7172,5478.0065,4641.3944
b0054,630.3420000000001,631.2492000000002,550.1086706562921,468.781323780466,78.52,292.42900000000003,352.5288000000001,297.0156635754,66.01,286.2109093558,289.4001309563,303.2038372527,289.7154624514,281.868085458,413.2974,339.38800000000003,278.2639182647,62.09,250.3842574013,433.404,267.8515537939,444.7875,54.24,254.68868906650002,248.8029554021,447.9671,435.8136,243.99405235580002,252.8190298984,681.3179000000001,479.6616,455.8488,31.93,504.6975000000001,252.3979489011,254.4895162434,230.69875068599998,234.7021666521,816.48,604.044,623.817158628438,743.299,1288.018923305495,237.3796279166,892.1870999999999,231.08049883389998,526.7616,799.7128,684.51,209.5183160259,229.7568216055,220.3095294349,219.09791382740002,829.3335000000002,1389.0816,1371.0676,1967.4005,1481.8114
b0055,2.8674000000000004,41.4234,129.330468840168,125.795691429077,,40.431999999999995,43.9192,,,,,,,,33.1113,2.3345,,,,55.8,,27.0,,,,32.766,36.4941,,,1.4672000000000005,49.81680000000001,3.5904000000000003,,97.767,,,,,31.934,43.51199999999999,124.27403978311199,1.4342,376.80668392712005,,40.3956,,67.84320000000001,74.8427,1.245,,,,,4.9914,4.4544,7.144400000000001,0.086,12.796600000000002
b0058,18.2898,112.9464,,,,60.23949999999999,126.5888,,,,,,,,73.84830000000002,72.0245,,,,152.628,,70.6125,,,,125.1331,105.7284,,,99.10150000000002,146.6256,,,98.65799999999999,,,,,167.94400000000002,,,167.773,,,190.3797,,,217.68900000000002,,,,,,,,,829.2334999999998,
b0059,129.4704,128.2392,164.42094301118004,183.98204354065697,93.68,83.7615,78.5408,53.1124217286,81.96,60.749043156999996,52.1704693881,63.723852513599994,51.7430296257,63.5964114098,51.7482,75.0375,65.969193628,98.03,59.5667060375,102.3,62.9401355579,67.225,97.83,76.7060822876,64.85079729430001,78.1685,78.0966,80.3705164008,81.79936872180001,131.2096,97.5216,99.8184,110.57,142.6545,78.6197773359,85.1367988029,74.2517380557,68.3354969632,77.938,120.96,177.42216377412902,119.2374,440.88850117077993,84.35945255109999,152.4537,66.3290662145,141.8432,151.086,115.83,94.7612555497,92.16546977860001,104.30114823379999,121.3762981887,168.9111,355.7568,657.3908,1160.6989999999998,847.9546000000001
