upid,GLC_BATCH_mu=0.6_H,FUM_BATCH_mu=0.55_H,PERSIST@8H_mu=0.02_H,STARVED@8H_mu=-0.005_H
P77791,47.0671592393,86.2411963737,87.2901186666,59.4639795688
P75830,97.7284703006,101.2235175637,63.5502962207,59.0937512854
P75831,99.7355444828,35.9807648334,71.6174344873,37.8198563627
P26616,670.3867471466,831.1118516922,664.8949307773,938.2136402489
P76558,1119.6075034528,3072.8415884555,1095.3078866017,3580.0225094647
P23917,254.6246911243,325.1197625464,364.2351486717,355.1903158813
P0AEX9,1171.6991859391,4200.6753518546,1951.2544829062,3640.1441096623
P02916,24.144154144,56.9944531604,48.393630041,61.5029010497
P68187,271.7246604592,373.9408233799,386.5361841606,466.8330205916
P03841,279.674632252,1030.8411667057,649.8388748713,1020.6963693029
P00490,608.5995954528,486.3913971751,678.7756470998,484.566931469
P15977,108.9316533629,70.5795390623,122.7346612906,88.9758322504
P06993,38.8697883839,55.3561087496,7.5868833385,6.2101530133
P23256,14.0648015828,20.4705011779,8.1492790399,25.2669562877
P21517,16.8278295825,19.08367903,0.6804319082,9.5604067737
P00946,719.2204359546,731.5728308813,594.658988363,904.1591270177
P69797,1594.4429304634,1307.318831028,3241.7167355711,1619.5755861643
P69801,561.439089945,394.3509812405,2623.7690789104,914.6412267454
P69805,562.9623597612,518.206567362,1498.4995621428,599.0822971259
P0AE18,1682.1578884526,1353.8822025797,1409.3292851854,1285.6386086972
P0AE70,31.341627709,40.6109155017,12.7311400672,54.7011462681
P0AEY3,34.8928606481,19.1671502222,7.5305310856,12.3695204796
P76114,8.2812456175,11.4792889857,70.683796135,17.6341756984
P0AEY5,397.1913714226,386.1928045402,119.905171654,162.4628496116
P61889,13661.3590101846,21627.7824984819,9143.0472119698,21521.7205512188
P39401,114.2570214288,130.1392889406,64.8694364856,103.3424115421
P40120,123.4621865783,140.1440122702,86.8167483147,120.6031784951
P33136,1047.844204202,1001.7228402256,1085.983039142,1178.5161292938
P62517,187.0905057522,189.202045901,236.886634603,190.2665126143
