upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P0AG71,33.24,64.43,80.60,31.21,21.81,79.11,34.62,61.61,6.64,14.20,14.99,11.53,108.10,17.48,56.46,71.84,75.56,103.37,9.52,81.91,23.13,33.54
P18393,19.68,34.04,11.78,19.96,6.84,24.66,45.91,11.84,24.23,37.91,21.50,57.91,70.23,35.14,13.47,97.71,45.91,23.43,92.11,47.95,73.48,31.14
P0AB35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P77433,25.93,48.43,121.94,48.76,54.76,85.64,25.42,7.17,141.71,77.14,87.95,159.20,89.58,66.48,105.32,161.43,168.07,113.56,69.46,106.15,66.41,121.39
P42626,2.73,12.44,40.22,87.91,37.72,33.18,45.27,25.16,11.92,15.01,49.69,34.55,155.90,29.61,27.68,74.20,51.55,39.08,11.66,69.74,78.87,31.77
P46474,28.41,5.46,27.11,44.03,10.47,25.50,33.37,91.57,5.19,22.80,24.09,37.44,76.04,94.02,28.69,59.08,36.32,16.74,11.08,27.63,53.44,57.69
P0AF59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P64517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0AD40,3.24,5.52,7.95,20.83,5.16,18.11,14.68,23.79,24.66,10.63,39.74,31.30,101.73,35.79,50.68,105.11,36.46,25.22,9.58,4.95,32.46,9.14
P39321,22.04,28.30,19.93,9.28,14.68,14.29,7.13,28.25,13.70,18.49,20.93,19.22,12.79,39.02,33.06,25.46,16.18,14.58,10.51,44.50,19.46,5.89
P27250,154.21,91.41,156.04,35.70,124.72,20.29,100.23,91.16,69.49,25.45,87.44,123.20,75.02,147.08,135.98,74.51,44.61,166.50,120.83,117.86,73.73,160.54
P0AFP4,12.08,4.97,26.23,8.73,4.67,10.54,11.35,22.58,8.77,14.20,16.29,8.28,26.62,7.03,28.49,10.91,14.29,10.99,10.87,23.71,5.50,65.92
P0AF52,22.56,31.43,22.41,49.07,18.06,26.49,27.88,24.68,19.20,13.59,22.96,12.88,56.08,24.67,25.23,28.96,47.13,43.24,22.57,37.67,6.67,42.36
P0AEH3,22.40,0.80,7.71,8.84,4.15,10.34,7.94,15.90,9.04,9.74,11.44,20.34,12.23,14.14,87.59,14.48,23.26,29.11,7.42,12.45,21.25,11.69
P37147,109.16,163.82,128.44,134.20,141.08,171.69,125.80,81.38,72.02,25.24,87.82,16.01,0.35,0.48,0.16,122.96,154.97,171.73,58.74,171.57,72.06,170.87
P0AEY3,75.79,80.03,76.79,26.21,25.28,110.15,73.23,43.38,28.13,52.11,76.32,58.76,45.73,65.87,93.30,162.42,86.30,110.11,2.20,83.04,21.15,65.87
P37750,21.98,24.13,10.48,22.92,5.06,36.78,11.41,25.92,13.54,3.15,6.44,18.64,46.32,23.11,91.43,49.33,37.41,13.76,18.45,17.33,22.74,15.33
P0A9T6,30.23,16.42,121.54,11.83,21.20,22.06,15.73,37.88,9.36,18.29,27.32,20.46,68.74,39.80,24.35,85.94,21.25,4.54,18.02,16.50,30.09,12.67
P0A898,18.99,61.03,55.72,56.84,105.92,73.24,140.97,14.90,89.61,21.53,14.37,50.81,41.46,4.25,17.02,4.23,13.84,15.95,7.68,37.57,16.04,47.09
P0AAW1,90.44,12.27,39.98,9.77,6.74,13.62,24.17,13.36,32.94,6.80,10.53,11.59,9.64,20.31,20.44,41.73,27.53,42.58,3.16,6.41,58.72,8.47
P60869,164.11,0.71,1.12,84.31,1.42,170.61,159.77,34.41,130.41,70.21,106.95,9.66,1.32,1.38,84.31,136.80,0.61,0.36,0.63,156.76,167.70,0.36
P67699,23.01,24.70,34.39,23.89,42.23,72.74,31.97,70.51,34.17,28.76,16.68,21.62,144.03,105.83,28.04,30.25,124.19,50.49,43.14,135.91,79.72,48.80
